scenario,display_name,method,learning_rate,retain_weight,epoch,forget_train_loss,retain_train_loss,objective,forget_loss,forget_loss_change,validation_loss,validation_accuracy,validation_f1,validation_balanced_accuracy,validation_auroc,selection_valid,validation_safety_score,cumulative_optimizer_steps,runtime_seconds,scenario_seed,candidate_method,candidate_learning_rate,candidate_retain_weight
s4_random_10_percent,Random 10%,NegGrad,5e-05,0.0,2,0.2998336955935469,0.0,-0.2998336955935469,0.2979274596446925,0.0006255976513625527,0.3011348996450756,0.8610428610428611,0.690389294403893,0.7878434334557999,0.9165569797089279,True,-0.0,28,0.09873187600169331,945,NegGrad,5e-05,0.0
s4_random_10_percent,Random 10%,NegGrad,5e-05,0.0,3,0.3033021861661697,0.0,-0.3033021861661697,0.29828763735088626,0.0009857753575562844,0.30122582529400205,0.8606333606333606,0.6901365705614567,0.7879652926888862,0.9165352794507049,True,-0.0,42,0.14693154289852828,945,NegGrad,5e-05,0.0
s4_random_10_percent,Random 10%,NegGrad,0.0001,0.0,1,0.3021077741112895,0.0,-0.3021077741112895,0.2978454446907663,0.0005435826974363178,0.3011146401841556,0.8610428610428611,0.690389294403893,0.7878434334557999,0.9165853333482098,True,-0.0,14,0.050229083048179746,945,NegGrad,0.0001,0.0
s4_random_10_percent,Random 10%,NegGrad,0.0001,0.0,2,0.30339655115368,0.0,-0.30339655115368,0.29857187254207807,0.0012700105487480906,0.3012462499409857,0.8606333606333606,0.6903245374582955,0.7881607997323088,0.9165560584715504,True,-0.0,28,0.10210995806846768,945,NegGrad,0.0001,0.0
s4_random_10_percent,Random 10%,NegGrad,0.0001,0.0,3,0.30290062780894883,0.0,-0.30290062780894883,0.2994581149331517,0.0021562529398217456,0.30155977413949175,0.8611793611793612,0.692842041679251,0.790279236261459,0.9165001700706559,True,-0.0,42,0.15383245807606727,945,NegGrad,0.0001,0.0
s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.1,1,0.3002479578117489,0.30077886984131424,-0.27017007120940795,0.29735104645961696,4.9184466286988915e-05,0.3010410210521957,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165797035642368,True,-0.0,14,0.07978200004436076,945,NegGrad+,1e-05,0.1
s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.1,2,0.3015771795082734,0.29836526957650256,-0.2717406491886004,0.29741278478157174,0.00011092278824176294,0.3010423743363583,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165751997370584,True,-0.0,28,0.16293462505564094,945,NegGrad+,1e-05,0.1
s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.1,3,0.3001012780942496,0.3153327545529745,-0.2685680017463643,0.2974747089605368,0.0001728469672068189,0.3010500149098114,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.916575302096767,True,-0.0,42,0.24153929110616446,945,NegGrad+,1e-05,0.1
s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.5,1,0.3002284124480524,0.30189102345929925,-0.14928290071840278,0.29734308637175233,4.122437842235538e-05,0.30103920892780023,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165810854203027,True,-0.0,14,0.07994320802390575,945,NegGrad+,1e-05,0.5
s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.5,2,0.3006950162784786,0.30177498153163246,-0.1498075255126624,0.29739622604815574,9.436405482576848e-05,0.3010337822853201,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165818531181171,True,-0.0,28,0.1609819990117103,945,NegGrad+,1e-05,0.5
s4_random_10_percent,Random 10%,NegGrad+,1e-05,0.5,3,0.30287609690635237,0.31234552851368996,-0.14670333264950738,0.2974489154732691,0.00014705347993915208,0.3010339348035662,0.8610428610428611,0.6884944920440637,0.7858883630215726,0.9165799082836539,True,-0.0,42,0.23792899900581688,945,NegGrad+,1e-05,0.5
s4_random_10_percent,Random 10%,NegGrad+,5e-05,0.1,1,0.29957622782149906,0.29983088253847723,-0.2695931385016016,0.2975914623434692,0.0002896003501392519,0.30106190150466866,0.8609063609063609,0.6888549618320611,0.7863851658672544,0.9165714124278401,True,-0.0,14,0.08320529200136662,945,NegGrad+,5e-05,0.1
s4_random_10_percent,Random 10%,NegGrad+,5e-05,0.1,2,0.30152323178709445,0.2985254971560556,-0.27167068356901414,0.2979241734483361,0.0006223114550061304,0.30109472294957657,0.8607698607698607,0.6886446886446886,0.786295447582668,0.9165587198239741,True,-0.0,28,0.15953962597995996,945,NegGrad+,5e-05,0.1
