scenario,display_name,epoch,subset,model,loss,accuracy,precision,recall,f1,auroc,mean_entropy,median_entropy,std_entropy
s2_random_5_percent,Random 5%,0,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s2_random_5_percent,Random 5%,0,test,fine_tuned,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s2_random_5_percent,Random 5%,0,test,fully_retrained,0.31298957141196365,0.856421454892862,0.7347622237106497,0.6257843696520251,0.6759088108441158,0.9093594946466267,0.453907181903463,0.41223987916035415,0.3742603554155263
s2_random_5_percent,Random 5%,1,forget,baseline,0.2945428908652551,0.8654183733177296,0.7456647398843931,0.645,0.6916890080428955,0.9186487776928954,0.44762381704415816,0.3786801010714992,0.3733452841658729
s2_random_5_percent,Random 5%,1,forget,fine_tuned,0.29530377920146433,0.8613224107665302,0.7432835820895523,0.6225,0.6775510204081633,0.9181159281894575,0.43905831182013694,0.3595430261502594,0.3765573164790658
s2_random_5_percent,Random 5%,1,forget,fully_retrained,0.3027954080525379,0.863662960795787,0.7406340057636888,0.6425,0.6880856760374833,0.9136506875477464,0.4538693762964621,0.39858724596274503,0.3757577713181466
s2_random_5_percent,Random 5%,1,retain,baseline,0.2991589285472625,0.8595751231527093,0.7348993288590604,0.6473460994730754,0.6883498462589682,0.9186793364294774,0.44388316349652834,0.3792516101547462,0.37307085822224667
s2_random_5_percent,Random 5%,1,retain,fine_tuned,0.29838176718046006,0.8610221674876847,0.745971992169854,0.6366790900912479,0.6870059631119123,0.9190385540975158,0.43572797542349034,0.35916310244996097,0.3760995896312343
s2_random_5_percent,Random 5%,1,retain,fully_retrained,0.29812554723810963,0.8602524630541872,0.7371963710857478,0.6474746176583986,0.6894286691755046,0.919522811493981,0.44905510890814077,0.3963824942561976,0.37484084404251533
s2_random_5_percent,Random 5%,1,validation,baseline,0.3010408610695784,0.8610428610428611,0.7425742574257426,0.6417569880205363,0.6884944920440637,0.9165791917656938,0.43425175211907346,0.36521914231444946,0.3692888096153216
s2_random_5_percent,Random 5%,1,validation,fine_tuned,0.3014102710933756,0.8633633633633634,0.754054054054054,0.6366229321163719,0.6903804515929477,0.9164094793688378,0.4266597250024718,0.34397346518634153,0.3724607575555311
s2_random_5_percent,Random 5%,1,validation,fully_retrained,0.30117424228965917,0.8628173628173628,0.7463768115942029,0.6463205932686823,0.6927545093243657,0.9164780603735986,0.43940831372990696,0.37969254405885283,0.370952290309648
s2_random_5_percent,Random 5%,1,test,baseline,0.312553161063312,0.8560120103725946,0.7336010709504686,0.6252139189960069,0.6750846935632892,0.9096566939119795,0.44835343633836,0.395422048126605,0.372275857712718
s2_random_5_percent,Random 5%,1,test,fine_tuned,0.3128882504675522,0.8569673809198853,0.7416038382453736,0.6172276098117513,0.6737235367372354,0.9093596993293162,0.44039261549625147,0.3752977094569186,0.37524470085414935
s2_random_5_percent,Random 5%,1,test,fully_retrained,0.31298957141196365,0.856421454892862,0.7347622237106497,0.6257843696520251,0.6759088108441158,0.9093594946466267,0.453907181903463,0.41223987916035415,0.3742603554155263
s2_random_5_percent,Random 5%,2,forget,baseline,0.2945428908652551,0.8654183733177296,0.7456647398843931,0.645,0.6916890080428955,0.9186487776928954,0.44762381704415816,0.3786801010714992,0.3733452841658729
s2_random_5_percent,Random 5%,2,forget,fine_tuned,0.2962997364245392,0.8660035108250439,0.7329700272479565,0.6725,0.7014341590612777,0.9182687165775401,0.44257443867977714,0.37209687693386967,0.3752813501185317
s2_random_5_percent,Random 5%,2,forget,fully_retrained,0.3027954080525379,0.863662960795787,0.7406340057636888,0.6425,0.6880856760374833,0.9136506875477464,0.4538693762964621,0.39858724596274503,0.3757577713181466
s2_random_5_percent,Random 5%,2,retain,baseline,0.2991589285472625,0.8595751231527093,0.7348993288590604,0.6473460994730754,0.6883498462589682,0.9186793364294774,0.44388316349652834,0.3792516101547462,0.37307085822224667
s2_random_5_percent,Random 5%,2,retain,fine_tuned,0.2979856661622568,0.8605603448275863,0.7243996687827767,0.6745919547615987,0.6986091701603779,0.9197552020739159,0.43881596850162785,0.3700139444290623,0.37528208411245956
